                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0943,                 2.2542,                 1.3184,                 1.3962,                 0.5476,                0.55847,                0.54658,                0.33068,                0.56436,                0.53878,                0.54372,                0.31205,                 1.4107,                 2.5884,                 1.6543,                 1.7327,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.0934,                 2.2562,                 1.3301,                 1.4066,                0.64188,                0.50808,                0.59311,                0.37239,                0.63713,                0.49628,                0.57881,                0.35619,                 1.3959,                 2.6917,                 1.4777,                 1.7304,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.0912,                 2.2451,                 1.3179,                 1.4078,                0.66983,                0.49743,                0.60006,                0.38116,                0.67366,                0.50043,                0.59832,                0.35511,                 1.3585,                 2.5544,                 1.4734,                 1.6746,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.0843,                 2.2316,                 1.2895,                 1.4022,                0.68976,                0.52868,                0.58203,                0.36527,                0.68624,                0.52573,                0.57723,                0.34446,                  1.342,                 2.6395,                 1.5101,                   1.71,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.0761,                  2.196,                 1.2684,                 1.3926,                0.58969,                 0.5362,                0.59869,                0.38024,                0.62989,                0.49676,                0.57818,                0.35433,                 1.2533,                 2.6611,                 1.4334,                 1.6118,               0.001047,               0.001047,               0.001047
                     29,                 1.0606,                  2.202,                  1.265,                 1.3838,                0.64856,                0.52722,                0.60968,                0.38707,                0.64142,                0.50711,                0.58969,                0.35684,                 1.3212,                 2.5578,                  1.511,                 1.6842,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.0572,                 2.1507,                  1.218,                 1.3698,                0.53996,                0.58787,                 0.5791,                0.37643,                0.52944,                0.56132,                0.55643,                0.34964,                 1.3336,                 2.5976,                 1.5539,                 1.6677,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.0434,                 2.1511,                 1.2136,                 1.3578,                0.59718,                 0.6012,                0.58984,                0.36962,                 0.6291,                0.57163,                0.58522,                0.34266,                 1.3401,                 2.7792,                 1.5244,                 1.7021,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.0375,                 2.1607,                 1.2135,                 1.3538,                0.61977,                 0.5983,                0.60621,                0.38086,                0.59708,                 0.5835,                0.58467,                0.35004,                 1.3232,                 2.7619,                 1.4457,                 1.6725,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.0234,                 2.1014,                 1.1764,                 1.3384,                0.67114,                0.55903,                0.63446,                 0.4056,                0.64583,                0.54955,                0.62379,                0.37773,                 1.3309,                 2.4823,                  1.452,                 1.6633,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.0187,                 2.0724,                 1.1534,                 1.3351,                0.65277,                0.54091,                0.62222,                 0.3989,                 0.6551,                0.53983,                0.61156,                 0.3616,                 1.3679,                 2.7006,                 1.3996,                 1.7233,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.0118,                 2.0755,                 1.1394,                  1.335,                0.65019,                0.57524,                 0.6132,                0.38146,                0.64558,                 0.5501,                0.58799,                0.35044,                 1.3582,                 2.5352,                 1.4542,                 1.7223,               0.000948,               0.000948,               0.000948
                     36,                 1.0206,                 2.1013,                 1.1754,                 1.3369,                0.61854,                0.56589,                0.61039,                0.37788,                0.62334,                0.53879,                0.59578,                0.35598,                 1.4058,                 2.6293,                 1.4602,                 1.7749,             0.00093385,             0.00093385,             0.00093385
                     37,                0.98911,                 2.0671,                 1.1171,                  1.322,                0.63232,                0.58935,                 0.6336,                0.40222,                0.63534,                0.57457,                0.61624,                0.37786,                 1.3087,                  2.525,                 1.4142,                 1.6668,              0.0009197,              0.0009197,              0.0009197
                     38,                0.99554,                 2.0427,                 1.1277,                 1.3288,                0.63972,                0.56155,                 0.5945,                0.37547,                0.63939,                0.56283,                0.58216,                0.34337,                 1.3815,                 2.5622,                 1.5088,                 1.7366,             0.00090556,             0.00090556,             0.00090556
                     39,                0.99012,                 2.0545,                 1.1096,                 1.3209,                0.71853,                0.57751,                0.63594,                0.40045,                0.70722,                0.56517,                0.61627,                0.37166,                 1.3853,                  2.573,                  1.396,                 1.7625,             0.00089141,             0.00089141,             0.00089141
                     40,                0.97695,                 2.0392,                 1.0843,                 1.3088,                0.66086,                 0.5427,                0.60585,                0.39578,                0.66778,                 0.5448,                0.60169,                 0.3602,                 1.3659,                 2.8945,                 1.4407,                 1.7722,             0.00087726,             0.00087726,             0.00087726
                     41,                0.97045,                 2.0183,                 1.0812,                 1.3084,                0.71034,                0.52822,                0.61584,                0.40187,                0.71936,                0.53032,                0.60268,                0.35857,                 1.3032,                  2.593,                 1.4812,                 1.6412,             0.00086312,             0.00086312,             0.00086312
                     42,                0.96396,                 2.0034,                 1.0651,                 1.3018,                0.66196,                0.58357,                 0.6482,                0.41611,                0.66184,                 0.5846,                0.63431,                0.38572,                 1.3167,                 2.7178,                 1.3703,                 1.6773,             0.00084897,             0.00084897,             0.00084897
                     43,                0.96223,                 1.9854,                 1.0653,                 1.2929,                0.57492,                 0.5676,                0.60077,                0.40508,                0.62222,                  0.548,                0.60217,                0.36596,                 1.2995,                 2.5151,                 1.4151,                 1.7035,             0.00083482,             0.00083482,             0.00083482
                     44,                0.95092,                 1.9712,                 1.0504,                 1.2846,                0.73867,                0.51614,                0.63245,                0.41494,                  0.748,                0.51742,                0.62899,                0.38067,                 1.2824,                 2.4172,                 1.3591,                 1.6273,             0.00082067,             0.00082067,             0.00082067
                     45,                0.94977,                  1.955,                 1.0286,                 1.2827,                0.63847,                0.55206,                0.61864,                0.40221,                0.64288,                0.55626,                0.61526,                0.37468,                 1.3101,                 2.6868,                 1.4082,                 1.6601,             0.00080653,             0.00080653,             0.00080653
                     46,                0.95895,                 1.9948,                 1.0288,                 1.2988,                0.60713,                0.59203,                0.61882,                  0.401,                0.68139,                0.52317,                 0.6011,                0.37215,                 1.3005,                 2.5715,                 1.4731,                 1.6629,             0.00079238,             0.00079238,             0.00079238
                     47,                0.93099,                 1.9089,                0.99027,                 1.2695,                0.61105,                0.57572,                0.61946,                0.40084,                0.65345,                0.53697,                0.60069,                0.37212,                 1.3154,                 2.5308,                 1.4665,                 1.6624,             0.00077823,             0.00077823,             0.00077823
                     48,                0.93416,                  1.923,                0.99467,                 1.2717,                0.67972,                0.51813,                0.62297,                0.39688,                0.66969,                0.50902,                 0.6066,                0.36476,                 1.3345,                 2.7464,                 1.3909,                  1.655,             0.00076409,             0.00076409,             0.00076409
                     49,                 0.9302,                 1.9148,                0.96582,                 1.2682,                0.68545,                0.58967,                0.65031,                0.41754,                0.66573,                0.58167,                0.63799,                0.38712,                 1.2841,                 2.5269,                 1.3095,                 1.6426,             0.00074994,             0.00074994,             0.00074994
                     50,                0.90862,                 1.8809,                0.94454,                 1.2489,                0.65433,                 0.4971,                0.58511,                 0.3792,                0.65976,                0.50002,                0.57858,                0.35042,                 1.3326,                 2.7763,                  1.505,                 1.6625,             0.00073579,             0.00073579,             0.00073579
                     51,                0.90722,                 1.8608,                0.93752,                 1.2501,                0.63005,                0.52871,                0.59866,                0.38877,                0.64742,                0.52647,                0.60042,                0.36099,                 1.3562,                 2.9215,                  1.416,                 1.7528,             0.00072164,             0.00072164,             0.00072164
                     52,                0.91275,                 1.8608,                0.95673,                  1.255,                0.64408,                0.55326,                0.60231,                0.39025,                0.64783,                0.56405,                0.60821,                0.37118,                 1.3487,                 2.5588,                  1.338,                 1.7052,              0.0007075,              0.0007075,              0.0007075
                     53,                0.89874,                  1.848,                0.93151,                 1.2478,                0.60422,                0.57569,                0.60288,                0.39725,                 0.6106,                0.54522,                0.59487,                0.37496,                 1.3343,                 2.6525,                 1.4795,                 1.6666,             0.00069335,             0.00069335,             0.00069335
                     54,                0.89235,                 1.8623,                0.91634,                 1.2381,                0.55242,                0.63091,                0.61639,                0.38417,                0.53706,                0.61546,                0.60194,                0.35335,                 1.3975,                 2.7156,                 1.4367,                 1.7511,              0.0006792,              0.0006792,              0.0006792
                     55,                0.88929,                 1.8385,                0.92623,                 1.2319,                0.67036,                0.51097,                0.61542,                0.40215,                0.63867,                0.52209,                0.60291,                0.37813,                 1.3414,                 2.7065,                 1.4414,                 1.7029,             0.00066506,             0.00066506,             0.00066506
                     56,                0.87989,                 1.8132,                0.88966,                 1.2273,                 0.7788,                0.50749,                0.65599,                0.43181,                0.78102,                0.50847,                0.63938,                0.38598,                 1.3077,                 2.7635,                 1.3657,                 1.6927,             0.00065091,             0.00065091,             0.00065091
