                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.42912,                0.56694,                0.34005,                 1.0064,                0.99913,                      1,                  0.995,                0.92923,                0.99913,                      1,                  0.995,                0.93007,                0.39755,                0.44805,                0.27655,                 1.0497,               0.001175,               0.001175,               0.001175
                     27,                0.43686,                0.56876,                0.34532,                 1.0089,                0.99937,                      1,                  0.995,                0.93102,                0.99937,                      1,                  0.995,                0.93124,                0.38813,                0.39786,                0.29124,                 1.0165,               0.001142,               0.001142,               0.001142
                     28,                0.42436,                0.56174,                0.33477,                 1.0075,                0.99892,                      1,                  0.995,                0.93141,                0.99892,                      1,                  0.995,                0.93427,                0.39331,                0.37248,                0.27656,                 1.0238,               0.001109,               0.001109,               0.001109
                     29,                0.41564,                0.53797,                 0.3229,                 1.0013,                0.99933,                      1,                  0.995,                0.92401,                0.99933,                      1,                  0.995,                0.93455,                0.39858,                0.38907,                0.26882,                 1.0679,               0.001076,               0.001076,               0.001076
                     30,                0.40919,                0.54753,                0.31469,                 1.0002,                      1,                0.99755,                  0.995,                0.92361,                      1,                0.99755,                  0.995,                0.93131,                0.40632,                0.38601,                0.35553,                  1.052,               0.001043,               0.001043,               0.001043
                     31,                0.41034,                0.55561,                 0.3215,                0.99787,                 0.9973,                      1,                  0.995,                0.93086,                 0.9973,                      1,                  0.995,                 0.9325,                0.40081,                0.37612,                0.27827,                 1.0507,                0.00101,                0.00101,                0.00101
                     32,                 0.4007,                0.52663,                0.31322,                0.99502,                0.99102,                      1,                0.99483,                0.93351,                0.99102,                      1,                0.99483,                0.93943,                0.37918,                0.37653,                0.26666,                 1.0239,               0.000977,               0.000977,               0.000977
                     33,                0.39419,                0.52981,                0.30903,                0.98178,                0.98927,                      1,                0.99492,                0.93765,                0.98927,                      1,                0.99492,                0.93547,                0.36812,                0.40263,                0.25556,                0.99963,               0.000944,               0.000944,               0.000944
                     34,                0.40153,                0.53998,                0.30219,                0.98977,                0.99931,                      1,                  0.995,                0.93472,                0.99931,                      1,                  0.995,                0.93652,                0.36721,                0.36608,                0.24552,                 1.0176,               0.000911,               0.000911,               0.000911
                     35,                0.39372,                0.54248,                 0.3109,                0.98571,                0.99936,                      1,                  0.995,                 0.9293,                0.99936,                      1,                  0.995,                0.93894,                 0.3819,                0.36592,                0.25273,                  1.001,               0.000878,               0.000878,               0.000878
                     36,                 0.3705,                0.50566,                0.29045,                0.97378,                0.99727,                      1,                  0.995,                0.94126,                0.99727,                      1,                  0.995,                0.94085,                0.37288,                0.36112,                0.25472,                 1.0169,               0.000845,               0.000845,               0.000845
                     37,                0.39375,                0.50477,                0.29817,                0.98629,                0.99864,                      1,                  0.995,                0.93387,                0.99864,                      1,                  0.995,                0.93611,                0.35901,                0.37051,                0.24683,                 1.0075,               0.000812,               0.000812,               0.000812
                     38,                0.37877,                0.51812,                0.29869,                0.97654,                0.99093,                      1,                0.99483,                0.93665,                0.99093,                      1,                0.99483,                0.93599,                  0.366,                0.34591,                0.25184,                 0.9904,               0.000779,               0.000779,               0.000779
                     39,                0.37006,                0.51177,                0.28029,                0.97196,                0.99921,                      1,                  0.995,                 0.9408,                0.99921,                      1,                  0.995,                0.95098,                 0.3514,                0.36663,                0.23052,                0.97577,               0.000746,               0.000746,               0.000746
                     40,                0.37773,                0.51317,                0.29983,                0.98133,                0.99932,                      1,                  0.995,                 0.9412,                0.99932,                      1,                  0.995,                0.94195,                 0.3607,                0.35991,                0.22802,                0.98201,               0.000713,               0.000713,               0.000713
